Pretty Formula,A,B
KBr,K1+,Br1-
KNb,K1+,Nb1-
KMo,K1+,Mo1-
KRh,K1+,Rh1-
KI,K1+,I1-
KTa,K1+,Ta1-
KW,K1+,W1-
KRe,K1+,Re1-
KOs,K1+,Os1-
KIr,K1+,Ir1-
KPt,K1+,Pt1-
KAu,K1+,Au1-
KTl,K1+,Tl1-
CaH,Ca1+,H1-
CaC,Ca1+,C1-
CaC,Ca2+,C2-
CaN,Ca1+,N1-
CaN,Ca2+,N2-
CaO,Ca1+,O1-
CaO,Ca2+,O2-
CaF,Ca1+,F1-
CaSi,Ca1+,Si1-
CaSi,Ca2+,Si2-
CaP,Ca1+,P1-
CaP,Ca2+,P2-
CaS,Ca1+,S1-
CaS,Ca2+,S2-
CaCl,Ca1+,Cl1-
CaTi,Ca1+,Ti1-
CaV,Ca1+,V1-
CaCr,Ca1+,Cr1-
CaCr,Ca2+,Cr2-
CaMn,Ca1+,Mn1-
CaMn,Ca2+,Mn2-
CaFe,Ca1+,Fe1-
CaFe,Ca2+,Fe2-
CaCo,Ca1+,Co1-
CaNi,Ca1+,Ni1-
CaGe,Ca1+,Ge1-
CaGe,Ca2+,Ge2-
CaSe,Ca2+,Se2-
CaBr,Ca1+,Br1-
CaNb,Ca1+,Nb1-
CaMo,Ca1+,Mo1-
CaMo,Ca2+,Mo2-
CaRu,Ca2+,Ru2-
CaRh,Ca1+,Rh1-
CaTe,Ca2+,Te2-
CaI,Ca1+,I1-
CaTa,Ca1+,Ta1-
CaW,Ca1+,W1-
CaW,Ca2+,W2-
CaRe,Ca1+,Re1-
CaOs,Ca1+,Os1-
CaOs,Ca2+,Os2-
CaIr,Ca1+,Ir1-
CaPt,Ca1+,Pt1-
CaPt,Ca2+,Pt2-
CaAu,Ca1+,Au1-
CaTl,Ca1+,Tl1-
ScH,Sc1+,H1-
ScC,Sc1+,C1-
ScC,Sc2+,C2-
ScC,Sc3+,C3-
ScN,Sc1+,N1-
ScN,Sc2+,N2-
ScN,Sc3+,N3-
ScO,Sc1+,O1-
ScO,Sc2+,O2-
ScF,Sc1+,F1-
ScSi,Sc1+,Si1-
ScSi,Sc2+,Si2-
ScSi,Sc3+,Si3-
ScP,Sc1+,P1-
ScP,Sc2+,P2-
ScP,Sc3+,P3-
ScS,Sc1+,S1-
ScS,Sc2+,S2-
ScCl,Sc1+,Cl1-
ScTi,Sc1+,Ti1-
ScV,Sc1+,V1-
ScCr,Sc1+,Cr1-
ScCr,Sc2+,Cr2-
ScMn,Sc1+,Mn1-
ScMn,Sc2+,Mn2-
ScMn,Sc3+,Mn3-
ScFe,Sc1+,Fe1-
ScFe,Sc2+,Fe2-
ScCo,Sc1+,Co1-
ScNi,Sc1+,Ni1-
ScGe,Sc1+,Ge1-
ScGe,Sc2+,Ge2-
ScGe,Sc3+,Ge3-
ScAs,Sc3+,As3-
ScSe,Sc2+,Se2-
ScBr,Sc1+,Br1-
ScNb,Sc1+,Nb1-
ScMo,Sc1+,Mo1-
